frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd1000_xw2000,0.000001,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,30,0.104200,25,1.000000,5,9,2,8,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd1000_xw5000,0.000001,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,13,0.062500,10,0.670000,3,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd200_xw2000,0.000000,200.000000,200.000000,2000.000000,robz_w200,48000,240000,27,0.083300,23,1.150000,4,11,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd200_xw5000,0.000000,200.000000,200.000000,5000.000000,robz_w200,48000,240000,15,0.062500,12,0.800000,3,8,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd500_xw2000,0.000000,200.000000,500.000000,2000.000000,robz_w200,48000,240000,24,0.062500,21,1.400000,3,9,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd500_xw5000,0.000000,200.000000,500.000000,5000.000000,robz_w200,48000,240000,12,0.041700,10,1.000000,2,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd1000_xw2000,0.000000,200.000000,1000.000000,2000.000000,robz_w200,48000,240000,20,0.062500,17,1.130000,3,7,1,5,3,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw200_cd1000_xw5000,0.000000,200.000000,1000.000000,5000.000000,robz_w200,48000,240000,10,0.041700,8,0.800000,2,4,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd200_xw2000,0.000000,400.000000,200.000000,2000.000000,robz_w200,48000,240000,26,0.062500,23,1.530000,3,11,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd200_xw5000,0.000000,400.000000,200.000000,5000.000000,robz_w200,48000,240000,14,0.041700,12,1.200000,2,8,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd500_xw2000,0.000000,400.000000,500.000000,2000.000000,robz_w200,48000,240000,24,0.062500,21,1.400000,3,9,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd500_xw5000,0.000000,400.000000,500.000000,5000.000000,robz_w200,48000,240000,12,0.041700,10,1.000000,2,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd1000_xw2000,0.000000,400.000000,1000.000000,2000.000000,robz_w200,48000,240000,20,0.062500,17,1.130000,3,7,1,5,3,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw400_cd1000_xw5000,0.000000,400.000000,1000.000000,5000.000000,robz_w200,48000,240000,10,0.041700,8,0.800000,2,4,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd200_xw2000,0.000000,600.000000,200.000000,2000.000000,robz_w200,48000,240000,25,0.041700,23,2.300000,2,11,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd200_xw5000,0.000000,600.000000,200.000000,5000.000000,robz_w200,48000,240000,13,0.020800,12,2.400000,1,8,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd500_xw2000,0.000000,600.000000,500.000000,2000.000000,robz_w200,48000,240000,23,0.041700,21,2.100000,2,9,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd500_xw5000,0.000000,600.000000,500.000000,5000.000000,robz_w200,48000,240000,11,0.020800,10,2.000000,1,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd1000_xw2000,0.000000,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,19,0.041700,17,1.700000,2,7,1,5,3,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw600_cd1000_xw5000,0.000000,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,9,0.020800,8,1.600000,1,4,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd200_xw2000,0.000000,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,25,0.041700,23,2.300000,2,11,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd200_xw5000,0.000000,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,13,0.020800,12,2.400000,1,8,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd500_xw2000,0.000000,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,23,0.041700,21,2.100000,2,9,1,5,4,2,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd500_xw5000,0.000000,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,11,0.020800,10,2.000000,1,6,1,3,0,0,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd1000_xw2000,0.000000,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,19,0.041700,17,1.700000,2,7,1,5,3,1,,,,,,
A,Seq2Seq,ADWIN,A_d1e-07_mw1000_cd1000_xw5000,0.000000,1000.000000,1000.000000,5000.000000,robz_w200,48000,240000,9,0.020800,8,1.600000,1,4,1,3,0,0,,,,,,
B,Seq2Seq,PH,B_N50_K5_d0.5,,,,,window_agg,960,4800,51,8.333300,43,1.070000,8,18,3,9,6,7,50.000000,5.000000,0.500000,,,
