frente,model,detector,exp,delta,min_window,cooldown,max_window,pre_proc,n_2019_total,n_post_total,n_alarms_total,FAR_2019_per1k,n_alarms_post,SNR_op,n_2019,n_2021,n_2022,n_2023,n_2024,n_2025,N_window,K_thr,K_delta,alpha,window_size,stat_size
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd200_xw5000,0.000001,600.000000,200.000000,5000.000000,robz_w200,48000,240000,66,0.250000,54,0.900000,12,13,8,11,19,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd500_xw2000,0.000001,600.000000,500.000000,2000.000000,robz_w200,48000,240000,86,0.291700,72,1.030000,14,14,8,23,18,9,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd500_xw5000,0.000001,600.000000,500.000000,5000.000000,robz_w200,48000,240000,66,0.250000,54,0.900000,12,13,8,11,19,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd1000_xw2000,0.000001,600.000000,1000.000000,2000.000000,robz_w200,48000,240000,63,0.250000,51,0.850000,12,8,7,16,12,8,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw600_cd1000_xw5000,0.000001,600.000000,1000.000000,5000.000000,robz_w200,48000,240000,50,0.187500,41,0.910000,9,8,6,10,14,3,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd200_xw2000,0.000001,1000.000000,200.000000,2000.000000,robz_w200,48000,240000,55,0.229200,44,0.800000,11,8,7,14,10,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd200_xw5000,0.000001,1000.000000,200.000000,5000.000000,robz_w200,48000,240000,64,0.250000,52,0.870000,12,11,6,16,15,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd500_xw2000,0.000001,1000.000000,500.000000,2000.000000,robz_w200,48000,240000,55,0.229200,44,0.800000,11,8,7,14,10,5,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd500_xw5000,0.000001,1000.000000,500.000000,5000.000000,robz_w200,48000,240000,64,0.250000,52,0.870000,12,11,6,16,15,4,,,,,,
A,Seq2Seq,ADWIN,A_d1e-06_mw1000_cd1000_xw2000,0.000001,1000.000000,1000.000000,2000.000000,robz_w200,48000,240000,55,0.229200,44,0.800000,11,8,7,14,10,5,,,,,,
